"chillR_code","STATION.NAME","CTRY","Lat","Long","BEGIN","END","Distance","Overlap_years","Perc_interval_covered"
"10826099999","TUBINGEN","GM",48.517,9.05,19730101,19790809,13.02,0,0
"10827099999","MESSSTETTEN","GM",48.183,9,19740820,19971231,24.44,8,26
"10738099999","STUTTGART","GM",48.69,9.222,19390902,20241102,34.68,31,100
"10828099999","SIGMARINGEN","GM",48.1,9.25,19950201,19971230,36.54,2.91,9
"10818099999","KLIPPENECK (CLIFF)","GM",48.1,8.75,19300903,20030816,40.12,13.62,44
"10737099999","STUTTGART","GM",48.767,9.183,19360701,20030425,42.01,13.31,43
"10834099999","RIEDLINGEN (AUT)","GM",48.167,9.5,19880105,19921231,42.24,3,10
"10815099999","FREUDENSTADT","GM",48.45,8.417,19730101,20030816,47.09,13.62,44
"10921099999","NEUHAUSEN OB ECK","GM",47.983,8.9,19730102,19950228,47.74,5.16,17
"10739099999","STUTTGART/SCHNARREN","GM",48.833,9.2,19840807,20030816,49.45,13.62,44
"10832099999","TUERKHEIM","GM",48.583,9.783,20040818,20040818,57.79,0,0
"10835099999","GOPPINGEN(US ARMY)","GM",48.717,9.7,19730102,19750214,59.49,0,0
"10835499999","GOPPINGEN (USA-AF)","GM",48.717,9.7,19370104,19900201,59.49,0.09,0
"10912099999","DONAUESCHINGEN VILLINGEN","GM",47.973,8.522,20040406,20191118,61.61,15.62,50
"10736099999","MUEHLACKER (AUT)","GM",48.967,8.867,19790314,20030816,64.54,13.62,44
"10838099999","ULM (MIL/MET)","GM",48.383,9.95,19490101,20030816,66.56,13.62,44
"10837099999","LAUPHEIM","GM",48.22,9.91,19730102,20241102,66.75,31,100
"10836099999","STOETTEN","GM",48.667,9.867,19490101,20030816,67.16,13.62,44
"10839099999","ULM/WILHELMSBURG  &","GM",48.4,9.983,19410116,19430430,68.96,0,0
"10805199999","BADEN OOS","GM",48.791,8.187,20171201,20180522,77.02,0.47,2
"10725099999","BADEN-OOS","GM",48.8,8.183,19770803,20020311,77.83,12.19,39
"10929099999","KONSTANZ","GM",47.683,9.183,19360102,20030816,80.43,13.62,44
"06671099999","STECKBORN","CH",47.667,8.983,20120209,20241102,81.75,8.9,29
"10727599999","KARLSRUHE BADEN BADEN","GM",48.779,8.081,19970723,20241102,82.89,23.44,76
"10702099999","KARLSRUHE/BADEN-B","GM",48.783,8.083,19860107,20010918,82.99,11.72,38
